FieldName,DataType
ABS_BEGDA,DATS
BUDAT_AD,DATS
VERS_FROM,DATS
RNERFDT,DATS
IEFHD,DATS
ENDDA_S,DATS
FROM_INTERVAL,DATS
AEDAT_KOST,DATS
RELEASE_DATE_H,DATS
DOC_CREAT_DTAEND,DATS
CALC_ENDDATE,DATS
CNVALIDTO,DATS
I_POD_DATE,DATS
DABEFFZ,DATS
H21_TRANSPORT_DATE,DATS
DATE27,DATS
PA0267_AEDTM,DATS
PPA_DD,DATS
D5_LIC1_VALFROM,DATS
H1_DATE,DATS
PRE_CLOSED_DATE,DATS
MAXSTRTDT1,DATS
SIANUDATE,DATS
SURETY_EXP_DT,DATS
PERBG_1BCH,DATS
DATAR,DATS
AUSBS,DATS
BISFK,DATS
AEDAT_TECH,DATS
SBG01,DATS
REREAD_DATE,DATS
RUN_DATE_FROM,DATS
REDEEM_DATE,DATS
CURVE_DATE,DATS
FOUDF3,DATS
VVDEMWH_OS,DATS
WT_PAYDT,DATS
BKRDT,DATS
BALANCE_DATE,DATS
STARTTREAT33,DATS
DEOT_T,DATS
LLUPDAT,DATS
OPERATION_DATE,DATS
FEVUE,DATS
WFDATE,DATS
CHQ_DATE,DATS
ABRSLKTDT,DATS
DDBAB,DATS
DDEMA,DATS
STARTDATUM,DATS
FIN_PER,DATS
FIRST_ADJUSTMENT_DATE,DATS
DB_ENDDA,DATS
LAUFD_LO,DATS
AUFDT,DATS
FROMHIDATS,DATS
KBBEG,DATS
PAT_DOB,DATS
ERFDATE_ST,DATS
NOTBEFORE,DATS
CHG_DATE_H,DATS
ABS_BEGDA_06,DATS
RR_DATUM,DATS
WUI_VALID_TO,DATS
VALTO_DATE,DATS
EECHGDT,DATS
TEDAT,DATS
PDAT3,DATS
CREATDATE,DATS
KNKK_UEDAT,DATS
OPTIONS_FOR_EARL_SCHED_FIN_DAT,DATS
ENDGP,DATS
PROCESS_VALIDITY_BEGDA,DATS
WADAT_EO,DATS
DATE_FOR,DATS
USR04,DATS
DATEND,DATS
ORIG_ACTUAL_TEN_START,DATS
DATE_STATUS,DATS
ENDZR09,DATS
YEBWG,DATS
RELSNOTEARLY,DATS
DSAB_AVAMDAT,DATS
ANSATT,DATS
END64,DATS
NAISS,DATS
VERSBI,DATS
ELM_KEY_IPENDAPC,DATS
VERSDAT,DATS
REDATUM,DATS
DPLSO,DATS
ENDDA_UI,DATS
RESP_BEG_DATE,DATS
PA_VALDATE,DATS
CEFIN,DATS
N6GKIGEBD,DATS
WP_BEGDA,DATS
ADT10,DATS
SBAUJAHR,DATS
DT_FIN_AP,DATS
P08BG,DATS
EVENT_DATE,DATS
ASSESSMENTDATE,DATS
ALLGEDAT,DATS
STEP_CREATION_DATE,DATS
WBB_DATE,DATS
KUENDEING,DATS
WORK_INCAPACITY,DATS
UBS18,DATS
SRKBEGDA,DATS
XMLTRANSFDATE,DATS
AR_TIME_N,DATS
OLD_DATE,DATS
DATE_FROM_SCALE,DATS
LAST_TRADING_DAY,DATS
ENDDATE19,DATS
BEGDA_66_67_4,DATS
VSERDAT,DATS
GLTG_AB,DATS
AM_AKTIV,DATS
GEN_MEET_D,DATS
ODT25,DATS
SP_SDATE,DATS
AB_SU,DATS
VKG_AFNDT,DATS
BP_VALID_TO,DATS
IBUSR08,DATS
ORIDT,DATS
HS_PROCESS_DATE,DATS
PPRUNDATE,DATS
BSP_DAT,DATS
DPERBEG,DATS
PLAN_GDATE,DATS
DADJUST,DATS
ABDTB,DATS
AWEFIB,DATS
JUB0041,DATS
NEW_HASTA,DATS
EIC_DUE_TO,DATS
START_DATREQ,DATS
LAST_CHANGED,DATS
SYMPT_SINCE,DATS
END13,DATS
DELIN_DATE,DATS
SMTDA,DATS
DISBLDT,DATS
ANN06,DATS
ORGLTRI,DATS
DMELDV,DATS
CLEARING_POST_DATE,DATS
GEBEG,DATS
INS_VALIDITY,DATS
CFB_BBDPI,DATS
GBISD_VZA,DATS
ASSIGN_DATE_X,DATS
NOTICE_FUP_POSTING_DATE,DATS
EVDATFROM,DATS
SECINSTDATE,DATS
PBEREITD,DATS
J_1ATAXP_PROC_DATE,DATS
COL9,DATS
RESTTO,DATS
DISND,DATS
GEBKIND,DATS
ACT_START_DATE,DATS
CQ_BEGDA,DATS
SRV_EXAM_DATE,DATS
BTEND,DATS
LABE1,DATS
PRINT_DATE,DATS
ELM_KEY_IPEND_K,DATS
GWLEN,DATS
CDATTO,DATS
ENDDA_1061,DATS
ENDDAE2_YRMIN0,DATS
AFDAT_VON_INT,DATS
S_DAT,DATS
G_DATE_F,DATS
ERDAT_KN,DATS
BLDATB,DATS
RZDAT,DATS
WEBPUBL_DATE_TO,DATS
PEDD7,DATS
EMAX_ENDE,DATS
KTDAT,DATS
DAT_FZAU,DATS
DCOUPON,DATS
ENDDA_MAX,DATS
PSTTRP,DATS
ABFBIS,DATS
ABW_GUEAB,DATS
IDAT1,DATS
DVALUT1,DATS
WI_LED,DATS
DAT12,DATS
FAFDAT,DATS
DURATION_BEGIN,DATS
DATEFROM_L,DATS
TDATESTAMP,DATS
BEGDA_BENEFIT,DATS
TDFDATE,DATS
RVEND,DATS
PLANNEDTO,DATS
DATEOFMMSTATUS,DATS
LAST_USAGE_DATE,DATS
PT1,DATS
P_FDTAG,DATS
B_DATUV,DATS
